Strain,Tomb26695,F16,SouthAfrica20,SouthAfrica7
HpGP-26695-ATCC,100.000,94.073,89.170,86.241
HpGP-ALG-001,89.110,91.192,89.306,86.077
HpGP-ALG-002,90.686,93.352,89.412,85.712
HpGP-ALG-003,92.025,93.819,89.964,86.791
HpGP-ALG-004,89.709,91.445,88.813,85.740
HpGP-ALG-005,88.420,91.448,89.365,86.104
HpGP-ALG-006,88.659,91.603,89.374,87.376
HpGP-ALG-007,89.925,90.988,90.781,87.423
HpGP-ALG-008,92.035,93.608,88.569,85.845
HpGP-ALG-009,89.009,91.024,90.320,87.341
HpGP-ALG-010,91.086,93.191,90.537,88.321
HpGP-ARG-001,90.812,93.831,90.154,86.538
HpGP-ARG-002,90.281,91.304,89.715,87.393
HpGP-ARG-003,89.250,90.728,91.674,87.913
HpGP-ARG-004,88.671,91.068,88.760,85.306
HpGP-ARG-005,90.220,91.354,89.343,87.529
HpGP-ARG-006,89.738,93.089,89.576,86.452
HpGP-ARG-007,90.918,93.311,91.220,87.526
HpGP-ARG-008,90.114,96.214,87.239,83.859
HpGP-ARG-009,89.051,96.079,86.854,83.564
HpGP-ARG-010,89.181,95.530,86.985,84.377
HpGP-BGD-001,89.970,93.831,90.348,86.776
HpGP-BGD-002,91.488,94.835,89.584,86.293
HpGP-BGD-003,90.201,94.521,87.988,84.745
HpGP-BGD-004,92.236,93.974,90.533,88.077
HpGP-BGD-005,91.877,93.546,91.888,88.950
HpGP-BGD-006,88.329,90.734,88.867,84.878
HpGP-BGD-007,91.133,91.320,89.632,87.538
HpGP-BGD-008,89.869,93.753,86.854,84.080
HpGP-BGD-009,90.717,93.490,91.672,88.766
HpGP-BGD-010,88.364,90.936,89.252,85.278
HpGP-BGR-001,91.558,93.378,89.255,85.889
HpGP-BGR-003,93.434,93.997,90.222,88.156
HpGP-BGR-004,89.535,90.804,89.804,86.086
HpGP-BGR-005,91.685,94.082,91.804,89.231
HpGP-BGR-006,92.289,93.413,87.924,85.137
HpGP-BGR-007,91.523,93.788,89.808,86.778
HpGP-BGR-008,89.468,91.562,90.370,87.554
HpGP-BGR-010,89.664,91.885,89.364,86.190
HpGP-BRA-001,90.070,93.545,89.889,86.302
HpGP-BRA-002,91.276,93.683,91.302,87.465
HpGP-BRA-003,89.766,91.209,89.489,86.421
HpGP-BRA-004,90.746,93.962,89.542,86.390
HpGP-BRA-005,90.883,93.026,90.783,86.963
HpGP-BRA-006,89.529,90.570,90.202,87.485
HpGP-BRA-007,90.241,93.658,90.299,86.887
HpGP-BRA-008,91.644,93.004,90.176,86.915
HpGP-BRA-009,89.775,90.539,88.649,84.816
HpGP-BRA-010,90.047,92.743,91.558,88.613
HpGP-BRA-012,88.881,95.381,86.528,83.470
HpGP-BRA-013,90.835,92.933,92.075,88.073
HpGP-BRA-014,91.289,93.749,91.674,88.766
HpGP-BRA-015,91.992,92.963,87.888,84.538
HpGP-BRA-017,90.431,91.363,89.009,85.455
HpGP-BRA-018,91.498,94.039,91.049,88.082
HpGP-BRA-019,91.190,93.404,91.181,88.535
HpGP-BRA-020,89.768,92.919,89.876,86.453
HpGP-BRA-022,89.698,93.265,89.896,86.739
HpGP-BRA-023,89.814,93.097,88.840,85.725
HpGP-BRA-025,91.760,93.139,88.808,86.546
HpGP-CAN-001,87.180,90.573,88.147,84.944
HpGP-CAN-002,91.716,93.370,90.015,86.256
HpGP-CAN-004,90.778,93.402,89.778,85.655
HpGP-CAN-006,81.986,85.827,80.007,78.545
HpGP-CAN-007,82.238,85.765,80.431,77.769
HpGP-CAN-008,92.081,94.243,91.042,87.648
HpGP-CAN-010,80.995,85.735,79.991,77.185
HpGP-CAN-011,82.001,85.809,80.012,78.551
HpGP-CAN-012,91.228,93.365,91.679,88.552
HpGP-CAN-014,91.788,93.964,89.758,86.901
HpGP-CAN-015,80.970,85.735,79.936,77.179
HpGP-CAN-016,81.094,85.307,80.068,78.366
HpGP-CAN-017,92.133,94.018,91.423,88.498
HpGP-CAN-018,80.529,85.103,79.522,77.116
HpGP-CAN-019,82.025,85.975,81.184,77.768
HpGP-CAN-020,86.135,90.365,85.121,83.172
HpGP-CAN-022,92.315,93.851,89.042,85.178
HpGP-CAN-023,86.076,89.805,84.737,82.230
HpGP-CAN-025,92.354,93.859,89.170,85.226
HpGP-CAN-026,92.382,93.831,88.218,84.327
HpGP-CHI-001,90.503,90.970,89.051,85.260
HpGP-CHI-002,88.821,90.898,89.488,87.029
HpGP-CHI-004,90.930,94.274,89.359,86.133
HpGP-CHI-005,91.953,94.015,90.682,86.851
HpGP-CHI-006,90.456,90.882,89.350,86.506
HpGP-CHI-007,89.036,91.005,90.330,87.860
HpGP-CHI-008,88.760,91.616,90.958,87.788
HpGP-CHI-010,89.231,91.440,90.320,88.300
HpGP-CHI-011,90.979,93.582,89.044,86.878
HpGP-CHI-014,90.317,91.072,90.760,88.729
HpGP-CHI-016,88.752,90.200,89.740,87.520
HpGP-CHI-017,89.824,91.661,90.848,88.247
HpGP-CHI-018,92.091,94.026,89.901,86.447
HpGP-CHI-021,91.946,94.217,91.120,88.570
HpGP-CHI-022,91.190,94.230,88.879,85.961
