Strain	Tomb26695	F16	SouthAfrica20	SouthAfrica7
HpGP-26695-ATCC	100	57.574	0.519	1.029
HpGP-ALG-001	66.956	24.402	0.54	2.167
HpGP-ALG-002	63.194	18.149	0.542	3.041
HpGP-ALG-003	61.749	19.084	0.516	2.994
HpGP-ALG-004	66.948	24.25	1.265	3.2
HpGP-ALG-005	65.824	21.43	0.754	2.128
HpGP-ALG-006	65.82	26.3	0.904	3.287
HpGP-ALG-007	69.159	22.282	2.169	3.961
HpGP-ALG-008	66.543	24.292	0.467	2.491
HpGP-ALG-009	62.948	21.784	0.727	2.497
HpGP-ALG-010	68.705	21.94	1.501	3.564
HpGP-ARG-001	72.586	31.711	0.52	2.771
HpGP-ARG-002	63.612	32.951	1.517	3.567
HpGP-ARG-003	65.817	27.809	2.369	3.1
HpGP-ARG-004	66.761	25.858	0.783	3.209
HpGP-ARG-005	70.765	25.761	0.98	4.022
HpGP-ARG-006	35.252	13.401	0.779	4.442
HpGP-ARG-007	71.108	26.801	2.055	3.598
HpGP-ARG-008	52.65	94.686	0.42	0.579
HpGP-ARG-009	58.613	94.48	0.509	1.341
HpGP-ARG-010	56.927	92.774	0.828	2
HpGP-BGD-001	70.931	65.448	1.932	2.685
HpGP-BGD-002	69.602	66.211	0.486	1.77
HpGP-BGD-003	68.503	62.562	0.567	1.864
HpGP-BGD-004	77.145	50.931	0.636	3.142
HpGP-BGD-005	69.361	43.868	2.243	3.678
HpGP-BGD-006	73.456	42.715	1.009	1.912
HpGP-BGD-007	75.98	42.673	1.252	3.717
HpGP-BGD-008	64	61.667	0.44	1.948
HpGP-BGD-009	73.369	46.382	1.705	2.93
HpGP-BGD-010	71.44	40.156	0.761	1.914
HpGP-BGR-001	76.719	44.514	0.756	2.55
HpGP-BGR-003	83.05	53.3	1.604	3.382
HpGP-BGR-004	77.14	38.471	0.786	1.801
HpGP-BGR-005	79.077	48.859	2.335	3.983
HpGP-BGR-006	80.037	50.083	0.8	2.031
HpGP-BGR-007	74.596	47.938	0.783	0.98
HpGP-BGR-008	73.705	45.079	1.553	3.288
HpGP-BGR-010	77.567	48.772	0.543	1.176
HpGP-BRA-001	25.643	7.333	0.797	3.148
HpGP-BRA-002	22.098	5.344	1.648	4.95
HpGP-BRA-003	65.938	31.252	1.297	3.258
HpGP-BRA-004	74.605	40.943	0.506	1.761
HpGP-BRA-005	23.742	4.992	0.851	4.95
HpGP-BRA-006	70.47	24.302	1.792	3.28
HpGP-BRA-007	23.701	5.121	0.814	4.499
HpGP-BRA-008	61.808	26.5	1.85	2.473
HpGP-BRA-009	68.103	19.291	0.682	3.321
HpGP-BRA-010	21.862	5.068	2.137	6.158
HpGP-BRA-012	60.481	93.871	0.588	0.458
HpGP-BRA-013	23.389	7.417	2.302	5.336
HpGP-BRA-014	28.494	9.74	1.909	4.709
HpGP-BRA-015	79.912	45.369	0.57	3.001
HpGP-BRA-017	69.065	28.748	0.764	2.904
HpGP-BRA-018	21.624	7.532	1.136	4.811
HpGP-BRA-019	21.795	5.412	1.757	4.032
HpGP-BRA-020	21.627	4.102	0.852	5.626
HpGP-BRA-022	27.123	5.268	1.21	5.356
HpGP-BRA-023	38.778	11.24	0.921	4.323
HpGP-BRA-025	65.745	19.111	1.027	3.541
HpGP-CAN-001	51.931	85.255	2.352	3.446
HpGP-CAN-002	28.151	13.639	0.985	3.68
HpGP-CAN-004	21.461	18.562	0.512	3.959
HpGP-CAN-006	24.483	61.233	0.805	1.833
HpGP-CAN-007	27.021	64.997	0.589	0.646
HpGP-CAN-008	75.37	65.578	2.177	3.1
HpGP-CAN-010	26.264	60.775	0.39	1.271
HpGP-CAN-011	24.914	61.254	0.805	1.642
HpGP-CAN-012	33.877	13.038	2.115	5.482
HpGP-CAN-014	65.864	66.492	1.791	2.931
HpGP-CAN-015	26.729	61.11	0.39	1.546
HpGP-CAN-016	30.365	61.99	0.619	1.488
HpGP-CAN-017	73.77	66.225	2.251	3.522
HpGP-CAN-018	23.687	57.013	0.356	0.572
HpGP-CAN-019	24.353	63.688	0.559	0.885
HpGP-CAN-020	52.806	85.53	0.702	1.615
HpGP-CAN-022	83.414	65.512	0.9	2.258
HpGP-CAN-023	53.891	84.761	0.94	1.9
HpGP-CAN-025	82.483	62.168	0.9	1.597
HpGP-CAN-026	83.48	62.984	0.747	1.744
HpGP-CHI-001	71.413	35.549	1.076	3.159
HpGP-CHI-002	68.027	33.141	1.839	2.89
HpGP-CHI-004	49.866	23.059	0.998	2.084
HpGP-CHI-005	57.934	29.293	1.335	3.35
HpGP-CHI-006	69.174	42.415	1.28	0.983
HpGP-CHI-007	68.014	35.003	1.232	2.393
HpGP-CHI-008	68.971	35.78	1.967	2.776
HpGP-CHI-010	72.016	50.475	0.871	2.967
HpGP-CHI-011	61.206	26.085	1.084	2.619
HpGP-CHI-014	74.261	32.16	1.415	2.552
HpGP-CHI-016	68.461	36.117	1.673	3.786
HpGP-CHI-017	72.149	39.291	0.969	3.023
HpGP-CHI-018	61.484	31.33	1.201	2.511
HpGP-CHI-021	51.52	20.442	1.296	3.406
HpGP-CHI-022	48.8	26.061	1.098	3.504
HpGP-CHI-023	56.888	29.309	1.663	3.435
HpGP-CHI-024	61.883	31.863	1.737	3.157
HpGP-CHI-026	64.346	30.372	1.675	3.635
HpGP-CHI-027	54.903	37.184	1.099	3.386
HpGP-CHI-028	63.402	32.949	1.387	3.617
HpGP-CHI-101	68.697	47.294	0.91	2.571
HpGP-CHI-102	70.014	40.513	0.67	2.403
HpGP-CHI-103	70.378	42.635	1.097	2.361
HpGP-CHI-104	63.548	48.797	1.504	3.267
HpGP-CHI-105	26.38	60.151	0.691	2.26
HpGP-CHI-106	60.943	36.371	1.024	1.567
HpGP-CHI-107	69.735	39.387	1.028	2.57
HpGP-CHI-110	66.889	48.04	0.601	2.373
HpGP-CHI-113	69.225	46.895	1.113	2.972
HpGP-CHI-114	69.976	38.834	0.867	3.288
HpGP-CHI-116	30.074	63.601	0.652	1.82
HpGP-CHI-117	71.566	50.758	2.476	3.874
HpGP-CHI-119	55.753	37.938	1.375	3.9
HpGP-CHI-120	31.539	29.914	0.894	4.043
HpGP-CHI-122	54.212	30.461	2.034	4.194
HpGP-CHI-123	68.749	34.08	0.993	2.131
HpGP-CHI-124	46.813	22.721	0.99	3.29
HpGP-CHI-125	55.985	31.488	1.264	3.981
HpGP-CHI-126	69.753	46.444	0.998	2.518
HpGP-CHI-127	57.643	29.521	1.67	3.111
HpGP-CHI-204	70.638	50.465	0.877	2.78
HpGP-CHI-207	65.348	26.231	1.736	3.514
HpGP-CHI-208	52.489	93.784	0.305	0.718
HpGP-CHI-209	59.2	29.193	1.909	3.579
HpGP-CHI-210	67.663	33.671	0.917	2.467
HpGP-CHI-212	55.616	26.424	1.652	1.905
HpGP-CHN-001	58.787	95.027	0.227	0.985
HpGP-CHN-002	59.103	93.796	0.577	0.617
HpGP-CHN-003	57.689	93.583	2.112	2.253
HpGP-CHN-004	61.149	93.331	0.305	1.451
HpGP-CHN-005	59.565	94.435	0.439	1.679
HpGP-CHN-006	55.792	93.454	0.584	1.616
HpGP-CHN-007	59.091	93.85	0.694	1.806
HpGP-CHN-008	58.735	92.5	0.637	1.967
HpGP-CHN-009	54.829	93.884	0.42	1.838
HpGP-CHN-010	56.06	95.192	0.644	0.832
HpGP-COG-001	22.121	4.877	1.201	5.476
HpGP-COG-002	70.213	23.416	2.063	4.479
HpGP-COG-003	20.152	4.092	2.937	6.385
HpGP-COG-004	23.047	5.618	1.302	5.111
HpGP-COG-005	21.515	4.437	0.866	5.363
HpGP-COG-006	20.756	4.405	2.944	7.891
HpGP-COG-007	24.091	3.704	0.647	5.253
HpGP-COG-008	18.19	6.09	0.907	4.543
HpGP-COG-009	20.06	3.376	0.998	5.154
HpGP-COG-010	19.531	4.492	1.919	5.81
HpGP-COG-011	24.416	3.456	0.803	5.366
HpGP-COL-002	69.917	25.46	0.928	3.196
HpGP-COL-003	36.133	10.299	1.846	4.78
HpGP-COL-004	66.351	26.547	1.769	4.103
HpGP-COL-005	66.466	22.058	1.064	2.868
HpGP-COL-006	47.146	14.683	0.741	2.277
HpGP-COL-008	63.266	24.081	0.896	2.759
HpGP-COL-010	69.115	27.498	1.256	2.623
HpGP-COL-102	40.204	12.085	2.086	4.515
HpGP-COL-103	58.745	22.862	0.932	3.916
HpGP-COL-104	58.444	22.899	2.316	2.852
HpGP-COL-105	60.945	24.908	0.936	2.606
