sample	total_minimizer_hits	genus	genus_taxid	genus_hits	genus_fraction	species	species_taxid	species_hits	species_fraction
HpGP-26695-ATCC	517988	Helicobacter	209	512898	0.990174	Helicobacter pylori	210	454183	0.876821
HpGP-ALG-001	476479	Helicobacter	209	470184	0.986789	Helicobacter pylori	210	408011	0.856304
HpGP-ALG-002	478531	Helicobacter	209	472587	0.987579	Helicobacter pylori	210	414259	0.865689
HpGP-ALG-003	482943	Helicobacter	209	476935	0.987560	Helicobacter pylori	210	414746	0.858789
HpGP-ALG-004	476026	Helicobacter	209	469626	0.986555	Helicobacter pylori	210	407778	0.856630
HpGP-ALG-005	461515	Helicobacter	209	455212	0.986343	Helicobacter pylori	210	399815	0.866310
HpGP-ALG-006	471458	Helicobacter	209	464310	0.984839	Helicobacter pylori	210	408214	0.865854
HpGP-ALG-007	473279	Helicobacter	209	467416	0.987612	Helicobacter pylori	210	410771	0.867926
HpGP-ALG-008	481868	Helicobacter	209	476596	0.989059	Helicobacter pylori	210	414561	0.860321
HpGP-ALG-009	465988	Helicobacter	209	460694	0.988639	Helicobacter pylori	210	403995	0.866964
HpGP-ALG-010	480169	Helicobacter	209	475084	0.989410	Helicobacter pylori	210	418581	0.871737
HpGP-ARG-001	479121	Helicobacter	209	473933	0.989172	Helicobacter pylori	210	417280	0.870928
HpGP-ARG-002	477894	Helicobacter	209	472490	0.988692	Helicobacter pylori	210	415710	0.869879
HpGP-ARG-003	475717	Helicobacter	209	470553	0.989145	Helicobacter pylori	210	413932	0.870122
HpGP-ARG-004	460478	Helicobacter	209	455486	0.989159	Helicobacter pylori	210	400321	0.869360
HpGP-ARG-005	476985	Helicobacter	209	471915	0.989371	Helicobacter pylori	210	416077	0.872306
HpGP-ARG-006	475484	Helicobacter	209	470515	0.989550	Helicobacter pylori	210	415544	0.873939
HpGP-ARG-007	494574	Helicobacter	209	488027	0.986762	Helicobacter pylori	210	430204	0.869848
HpGP-ARG-008	486843	Helicobacter	209	481896	0.989839	Helicobacter pylori	210	423490	0.869870
HpGP-ARG-009	484435	Helicobacter	209	479316	0.989433	Helicobacter pylori	210	417304	0.861424
HpGP-ARG-010	486829	Helicobacter	209	481586	0.989230	Helicobacter pylori	210	422693	0.868258
HpGP-BGD-001	467902	Helicobacter	209	462857	0.989218	Helicobacter pylori	210	408020	0.872020
HpGP-BGD-002	468788	Helicobacter	209	463663	0.989068	Helicobacter pylori	210	408956	0.872369
HpGP-BGD-003	461162	Helicobacter	209	455210	0.987093	Helicobacter pylori	210	401191	0.869957
HpGP-BGD-004	495077	Helicobacter	209	489021	0.987768	Helicobacter pylori	210	429767	0.868081
HpGP-BGD-005	514802	Helicobacter	209	507153	0.985142	Helicobacter pylori	210	439705	0.854124
HpGP-BGD-006	463488	Helicobacter	209	457295	0.986638	Helicobacter pylori	210	401942	0.867211
HpGP-BGD-007	491733	Helicobacter	209	486427	0.989210	Helicobacter pylori	210	423997	0.862250
HpGP-BGD-008	455180	Helicobacter	209	450115	0.988873	Helicobacter pylori	210	396114	0.870236
HpGP-BGD-009	486769	Helicobacter	209	481579	0.989338	Helicobacter pylori	210	426039	0.875239
HpGP-BGD-010	460484	Helicobacter	209	454776	0.987604	Helicobacter pylori	210	398508	0.865411
HpGP-BGR-001	488010	Helicobacter	209	481715	0.987101	Helicobacter pylori	210	419689	0.860001
HpGP-BGR-003	497922	Helicobacter	209	492825	0.989763	Helicobacter pylori	210	431496	0.866594
HpGP-BGR-004	479174	Helicobacter	209	473426	0.988004	Helicobacter pylori	210	410607	0.856906
HpGP-BGR-005	509798	Helicobacter	209	504587	0.989778	Helicobacter pylori	210	440041	0.863167
HpGP-BGR-006	483142	Helicobacter	209	478260	0.989895	Helicobacter pylori	210	417573	0.864286
HpGP-BGR-007	493839	Helicobacter	209	487784	0.987739	Helicobacter pylori	210	422912	0.856376
HpGP-BGR-008	482397	Helicobacter	209	476606	0.987995	Helicobacter pylori	210	412864	0.855859
HpGP-BGR-010	474548	Helicobacter	209	469139	0.988602	Helicobacter pylori	210	408412	0.860634
HpGP-BRA-001	481497	Helicobacter	209	476018	0.988621	Helicobacter pylori	210	420916	0.874182
HpGP-BRA-002	487473	Helicobacter	209	482291	0.989370	Helicobacter pylori	210	427204	0.876364
HpGP-BRA-003	477600	Helicobacter	209	472487	0.989294	Helicobacter pylori	210	413042	0.864828
HpGP-BRA-004	473756	Helicobacter	209	468515	0.988937	Helicobacter pylori	210	412528	0.870760
HpGP-BRA-005	488575	Helicobacter	209	483632	0.989883	Helicobacter pylori	210	422961	0.865703
HpGP-BRA-006	488510	Helicobacter	209	482412	0.987517	Helicobacter pylori	210	421642	0.863118
HpGP-BRA-007	482302	Helicobacter	209	476875	0.988748	Helicobacter pylori	210	421263	0.873442
HpGP-BRA-008	489045	Helicobacter	209	484019	0.989723	Helicobacter pylori	210	426892	0.872909
HpGP-BRA-009	465256	Helicobacter	209	460114	0.988948	Helicobacter pylori	210	404919	0.870314
HpGP-BRA-010	490712	Helicobacter	209	484825	0.988003	Helicobacter pylori	210	429477	0.875212
HpGP-BRA-012	476800	Helicobacter	209	471914	0.989753	Helicobacter pylori	210	416806	0.874174
HpGP-BRA-013	496888	Helicobacter	209	489499	0.985129	Helicobacter pylori	210	431712	0.868832
HpGP-BRA-014	499186	Helicobacter	209	494155	0.989922	Helicobacter pylori	210	435323	0.872066
HpGP-BRA-015	484716	Helicobacter	209	479613	0.989472	Helicobacter pylori	210	421464	0.869507
HpGP-BRA-017	476564	Helicobacter	209	471163	0.988667	Helicobacter pylori	210	411781	0.864062
HpGP-BRA-018	489108	Helicobacter	209	484059	0.989677	Helicobacter pylori	210	428512	0.876109
HpGP-BRA-019	490025	Helicobacter	209	484915	0.989572	Helicobacter pylori	210	427320	0.872037
HpGP-BRA-020	477929	Helicobacter	209	473030	0.989750	Helicobacter pylori	210	417614	0.873799
HpGP-BRA-022	480681	Helicobacter	209	475244	0.988689	Helicobacter pylori	210	419385	0.872481
HpGP-BRA-023	477606	Helicobacter	209	472467	0.989240	Helicobacter pylori	210	417466	0.874080
HpGP-BRA-025	487814	Helicobacter	209	482309	0.988715	Helicobacter pylori	210	424359	0.869920
HpGP-CAN-001	475732	Helicobacter	209	470930	0.989906	Helicobacter pylori	210	409672	0.861140
HpGP-CAN-002	489250	Helicobacter	209	484198	0.989674	Helicobacter pylori	210	423335	0.865273
HpGP-CAN-004	478615	Helicobacter	209	473541	0.989399	Helicobacter pylori	210	415099	0.867292
HpGP-CAN-006	433260	Helicobacter	209	428405	0.988794	Helicobacter pylori	210	371718	0.857956
HpGP-CAN-007	430269	Helicobacter	209	425272	0.988386	Helicobacter pylori	210	363523	0.844874
HpGP-CAN-008	493468	Helicobacter	209	488333	0.989594	Helicobacter pylori	210	429281	0.869927
HpGP-CAN-010	463193	Helicobacter	209	458358	0.989562	Helicobacter pylori	210	401730	0.867306
HpGP-CAN-011	432430	Helicobacter	209	427578	0.988780	Helicobacter pylori	210	371042	0.858039
HpGP-CAN-012	504673	Helicobacter	209	499487	0.989724	Helicobacter pylori	210	441691	0.875202
HpGP-CAN-014	490049	Helicobacter	209	484995	0.989687	Helicobacter pylori	210	423542	0.864285
HpGP-CAN-015	462773	Helicobacter	209	457956	0.989591	Helicobacter pylori	210	401433	0.867451
HpGP-CAN-016	433440	Helicobacter	209	428609	0.988854	Helicobacter pylori	210	370055	0.853763
HpGP-CAN-017	496987	Helicobacter	209	491971	0.989907	Helicobacter pylori	210	430397	0.866013
HpGP-CAN-018	423295	Helicobacter	209	418437	0.988523	Helicobacter pylori	210	362514	0.856410
HpGP-CAN-019	425866	Helicobacter	209	421016	0.988611	Helicobacter pylori	210	359458	0.844064
HpGP-CAN-020	450349	Helicobacter	209	445477	0.989182	Helicobacter pylori	210	390121	0.866264
HpGP-CAN-022	482065	Helicobacter	209	477129	0.989761	Helicobacter pylori	210	418270	0.867663
HpGP-CAN-023	451118	Helicobacter	209	446150	0.988987	Helicobacter pylori	210	390915	0.866547
HpGP-CAN-025	480339	Helicobacter	209	475431	0.989782	Helicobacter pylori	210	416850	0.867825
HpGP-CAN-026	479311	Helicobacter	209	474412	0.989779	Helicobacter pylori	210	415352	0.866561
HpGP-CHI-001	484034	Helicobacter	209	478710	0.989001	Helicobacter pylori	210	419537	0.866751
HpGP-CHI-002	478770	Helicobacter	209	472018	0.985897	Helicobacter pylori	210	415820	0.868517
HpGP-CHI-004	485362	Helicobacter	209	480378	0.989731	Helicobacter pylori	210	423517	0.872580
HpGP-CHI-005	488011	Helicobacter	209	482703	0.989123	Helicobacter pylori	210	425270	0.871435
HpGP-CHI-006	480982	Helicobacter	209	475728	0.989077	Helicobacter pylori	210	413158	0.858988
HpGP-CHI-007	475586	Helicobacter	209	470632	0.989583	Helicobacter pylori	210	414395	0.871336
HpGP-CHI-008	475939	Helicobacter	209	470821	0.989247	Helicobacter pylori	210	414903	0.871757
HpGP-CHI-010	483618	Helicobacter	209	478293	0.988989	Helicobacter pylori	210	420958	0.870435
HpGP-CHI-011	503575	Helicobacter	209	497586	0.988107	Helicobacter pylori	210	434798	0.863423
HpGP-CHI-014	489724	Helicobacter	209	484767	0.989878	Helicobacter pylori	210	424763	0.867352
HpGP-CHI-016	471513	Helicobacter	209	466332	0.989012	Helicobacter pylori	210	410614	0.870843
HpGP-CHI-017	482209	Helicobacter	209	476075	0.987279	Helicobacter pylori	210	418904	0.868719
HpGP-CHI-018	490783	Helicobacter	209	484814	0.987838	Helicobacter pylori	210	427208	0.870462
HpGP-CHI-021	498449	Helicobacter	209	493208	0.989485	Helicobacter pylori	210	432250	0.867190
